,u,v,edge_type,count
687,Worry_4,L10,undirected,0
688,Worry_4,L10,none,149
689,Worry_4,L10,unknown,0
690,Worry_5,Worry_6,u->v,2
691,Worry_5,Worry_6,v->u,17
692,Worry_5,Worry_6,undirected,3
693,Worry_5,Worry_6,none,132
694,Worry_5,Worry_6,unknown,0
695,Worry_5,Worry_7,u->v,2
696,Worry_5,Worry_7,v->u,40
697,Worry_5,Worry_7,undirected,2
698,Worry_5,Worry_7,none,110
699,Worry_5,Worry_7,unknown,0
700,Worry_5,Worry_8,u->v,0
701,Worry_5,Worry_8,v->u,4
702,Worry_5,Worry_8,undirected,0
703,Worry_5,Worry_8,none,150
704,Worry_5,Worry_8,unknown,0
705,Worry_5,Worry_9,u->v,0
706,Worry_5,Worry_9,v->u,10
707,Worry_5,Worry_9,undirected,0
708,Worry_5,Worry_9,none,144
709,Worry_5,Worry_9,unknown,0
710,Worry_5,Worry_10,u->v,4
711,Worry_5,Worry_10,v->u,17
712,Worry_5,Worry_10,undirected,2
713,Worry_5,Worry_10,none,131
